species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,39.099998,18.700001,181,3750,male,2007
Adelie,Torgersen,39.5,17.4,186,3800,female,2007
Adelie,Torgersen,40.299999,18,195,3250,female,2007
Adelie,Torgersen,36.700001,19.299999,193,3450,female,2007
Adelie,Torgersen,39.299999,20.6,190,3650,male,2007
Adelie,Torgersen,38.900002,17.799999,181,3625,female,2007
Adelie,Torgersen,39.200001,19.6,195,4675,male,2007
Adelie,Torgersen,34.099998,18.1,193,3475,NA,2007
Adelie,Torgersen,42,20.200001,190,4250,NA,2007
Adelie,Torgersen,37.799999,17.1,186,3300,NA,2007
Adelie,Torgersen,37.799999,17.299999,180,3700,NA,2007
Adelie,Torgersen,41.099998,17.6,182,3200,female,2007
Adelie,Torgersen,38.599998,21.200001,191,3800,male,2007
Adelie,Torgersen,34.599998,21.1,198,4400,male,2007
Adelie,Torgersen,36.599998,17.799999,185,3700,female,2007
Adelie,Torgersen,38.700001,19,195,3450,female,2007
Adelie,Torgersen,42.5,20.700001,197,4500,male,2007
Adelie,Torgersen,34.400002,18.4,184,3325,female,2007
Adelie,Torgersen,46,21.5,194,4200,male,2007
Adelie,Biscoe,37.799999,18.299999,174,3400,female,2007
Adelie,Biscoe,37.700001,18.700001,180,3600,male,2007
Adelie,Biscoe,35.900002,19.200001,189,3800,female,2007
Adelie,Biscoe,38.200001,18.1,185,3950,male,2007
Adelie,Biscoe,38.799999,17.200001,180,3800,male,2007
Adelie,Biscoe,35.299999,18.9,187,3800,female,2007
Adelie,Biscoe,40.599998,18.6,183,3550,male,2007
Adelie,Biscoe,40.5,17.9,187,3200,female,2007
Adelie,Biscoe,37.900002,18.6,172,3150,female,2007
Adelie,Biscoe,40.5,18.9,180,3950,male,2007
Adelie,Dream,39.5,16.700001,178,3250,female,2007
Adelie,Dream,37.200001,18.1,178,3900,male,2007
Adelie,Dream,39.5,17.799999,188,3300,female,2007
Adelie,Dream,40.900002,18.9,184,3900,male,2007
Adelie,Dream,36.400002,17,195,3325,female,2007
Adelie,Dream,39.200001,21.1,196,4150,male,2007
Adelie,Dream,38.799999,20,190,3950,male,2007
Adelie,Dream,42.200001,18.5,180,3550,female,2007
Adelie,Dream,37.599998,19.299999,181,3300,female,2007
Adelie,Dream,39.799999,19.1,184,4650,male,2007
Adelie,Dream,36.5,18,182,3150,female,2007
Adelie,Dream,40.799999,18.4,195,3900,male,2007
Adelie,Dream,36,18.5,186,3100,female,2007
Adelie,Dream,44.099998,19.700001,196,4400,male,2007
Adelie,Dream,37,16.9,185,3000,female,2007
Adelie,Dream,39.599998,18.799999,190,4600,male,2007
Adelie,Dream,41.099998,19,182,3425,male,2007
Adelie,Dream,37.5,18.9,179,2975,NA,2007
Adelie,Dream,36,17.9,190,3450,female,2007
Adelie,Dream,42.299999,21.200001,191,4150,male,2007
Adelie,Biscoe,39.599998,17.700001,186,3500,female,2008
Adelie,Biscoe,40.099998,18.9,188,4300,male,2008
Adelie,Biscoe,35,17.9,190,3450,female,2008
Adelie,Biscoe,42,19.5,200,4050,male,2008
